molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label
CHEMBL1223488,O=C(NCCNc1ccnc2cc(Cl)ccc12)NC1CCCCC1,1647.0,nM,IC50,5.78,Giardia intestinalis,organism-based format
CHEMBL1223489,O=C(NCCNc1ccnc2cc(Cl)ccc12)Nc1ccccc1,1171.0,nM,IC50,5.93,Giardia intestinalis,organism-based format
CHEMBL1223557,O=C(NCCNc1ccnc2cc(Cl)ccc12)Nc1ccc(Cl)cc1,267.0,nM,IC50,6.57,Giardia intestinalis,organism-based format
CHEMBL1223558,O=C(NCCNc1ccnc2cc(Cl)ccc12)Nc1ccc(F)cc1,927.0,nM,IC50,6.03,Giardia intestinalis,organism-based format
CHEMBL1223559,CCOc1ccc(NC(=O)NCCNc2ccnc3cc(Cl)ccc23)cc1,339.0,nM,IC50,6.47,Giardia intestinalis,organism-based format
CHEMBL1223560,CCCCOc1ccc(NC(=O)NCCNc2ccnc3cc(Cl)ccc23)cc1,8.0,nM,IC50,8.10,Giardia intestinalis,organism-based format
CHEMBL1223561,O=C(NCCNc1ccnc2cc(Cl)ccc12)Nc1ccc([N+](=O)[O-])cc1,1748.0,nM,IC50,5.76,Giardia intestinalis,organism-based format
CHEMBL1222473,COc1ccc(NC(=O)NCCNc2ccnc3cc(Cl)ccc23)cc1,595.0,nM,IC50,6.22,Giardia intestinalis,organism-based format
CHEMBL99254,NCCNc1ccnc2cc(Cl)ccc12,1253.0,nM,IC50,5.90,Giardia intestinalis,organism-based format
CHEMBL76,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,401.0,nM,IC50,6.40,Giardia intestinalis,organism-based format
CHEMBL1779947,CC(=O)Oc1ccccc1C(=O)Nc1nc2ccc([N+](=O)[O-])cc2s1,297.0,nM,IC50,6.53,Giardia intestinalis,organism-based format
CHEMBL1779948,O=C(Nc1nc2ccc([N+](=O)[O-])cc2s1)c1ccccc1O,590.0,nM,IC50,6.23,Giardia intestinalis,organism-based format
CHEMBL1545,O=C(Nc1ncc([N+](=O)[O-])s1)c1ccccc1O,716.0,nM,IC50,6.14,Giardia intestinalis,organism-based format
CHEMBL1503,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,95.5,nM,IC50,7.02,Giardia intestinalis,organism-based format
CHEMBL480,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,73.1,nM,IC50,7.14,Giardia intestinalis,organism-based format
CHEMBL1219,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,18.1,nM,IC50,7.74,Giardia intestinalis,organism-based format
CHEMBL1502,COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,15.7,nM,IC50,7.80,Giardia intestinalis,organism-based format
CHEMBL1922081,CN(C)CCSc1nc2c(Cl)cc(Cl)cc2[nH]1,20.0,nM,IC50,7.70,Giardia intestinalis,organism-based format
CHEMBL1928245,c1ccc2[nH]c(-c3ccc(OCCOc4ccc(-c5nc6ccccc6[nH]5)cc4)cc3)nc2c1,124080.0,nM,IC50,,Giardia intestinalis,organism-based format
CHEMBL428612,c1ccc2[nH]c(-c3ccc(OCCCOc4ccc(-c5nc6ccccc6[nH]5)cc4)cc3)nc2c1,740.0,nM,IC50,6.13,Giardia intestinalis,organism-based format
CHEMBL442471,c1ccc2[nH]c(-c3ccc(OCCCCOc4ccc(-c5nc6ccccc6[nH]5)cc4)cc3)nc2c1,17850.0,nM,IC50,4.75,Giardia intestinalis,organism-based format
CHEMBL258556,c1ccc2[nH]c(-c3ccc(OCCCCCCOc4ccc(-c5nc6ccccc6[nH]5)cc4)cc3)nc2c1,3580.0,nM,IC50,5.45,Giardia intestinalis,organism-based format
CHEMBL258555,c1ccc2[nH]c(-c3ccc(OCCCCCCCOc4ccc(-c5nc6ccccc6[nH]5)cc4)cc3)nc2c1,1340.0,nM,IC50,5.87,Giardia intestinalis,organism-based format
CHEMBL1928246,c1ccc2[nH]c(-c3ccc(OCCCCCCCCOc4ccc(-c5nc6ccccc6[nH]5)cc4)cc3)nc2c1,10440.0,nM,IC50,4.98,Giardia intestinalis,organism-based format
CHEMBL1928411,c1ccc2[nH]c(-c3ccc(OCCCCCCCCCOc4ccc(-c5nc6ccccc6[nH]5)cc4)cc3)nc2c1,830.0,nM,IC50,6.08,Giardia intestinalis,organism-based format
CHEMBL1928412,c1ccc2[nH]c(-c3ccc(OCCCCCCCCCCOc4ccc(-c5nc6ccccc6[nH]5)cc4)cc3)nc2c1,22080.0,nM,IC50,4.66,Giardia intestinalis,organism-based format
CHEMBL1928414,c1cc(OCCOc2cccc(-c3nc4ccccc4[nH]3)c2)cc(-c2nc3ccccc3[nH]2)c1,11650.0,nM,IC50,4.93,Giardia intestinalis,organism-based format
CHEMBL1928415,c1cc(OCCCOc2cccc(-c3nc4ccccc4[nH]3)c2)cc(-c2nc3ccccc3[nH]2)c1,56070.0,nM,IC50,4.25,Giardia intestinalis,organism-based format
CHEMBL1928416,c1cc(OCCCCOc2cccc(-c3nc4ccccc4[nH]3)c2)cc(-c2nc3ccccc3[nH]2)c1,36030.0,nM,IC50,4.44,Giardia intestinalis,organism-based format
CHEMBL428119,c1cc(OCCCCCOc2cccc(-c3nc4ccccc4[nH]3)c2)cc(-c2nc3ccccc3[nH]2)c1,18460.0,nM,IC50,4.73,Giardia intestinalis,organism-based format
CHEMBL1928417,c1cc(OCCCCCCOc2cccc(-c3nc4ccccc4[nH]3)c2)cc(-c2nc3ccccc3[nH]2)c1,17710.0,nM,IC50,4.75,Giardia intestinalis,organism-based format
CHEMBL1928418,c1cc(OCCCCCCCOc2cccc(-c3nc4ccccc4[nH]3)c2)cc(-c2nc3ccccc3[nH]2)c1,25760.0,nM,IC50,4.59,Giardia intestinalis,organism-based format
CHEMBL1928419,c1cc(OCCCCCCCCOc2cccc(-c3nc4ccccc4[nH]3)c2)cc(-c2nc3ccccc3[nH]2)c1,52440.0,nM,IC50,4.28,Giardia intestinalis,organism-based format
CHEMBL1928420,c1cc(OCCCCCCCCCOc2cccc(-c3nc4ccccc4[nH]3)c2)cc(-c2nc3ccccc3[nH]2)c1,45530.0,nM,IC50,4.34,Giardia intestinalis,organism-based format
CHEMBL1928421,c1cc(OCCCCCCCCCCOc2cccc(-c3nc4ccccc4[nH]3)c2)cc(-c2nc3ccccc3[nH]2)c1,171950.0,nM,IC50,,Giardia intestinalis,organism-based format
CHEMBL37161,COC(=O)Nc1nc2cc(Sc3ccccc3)ccc2[nH]1,56.0,nM,IC50,7.25,Giardia intestinalis,organism-based format
CHEMBL685,COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1,55.0,nM,IC50,7.26,Giardia intestinalis,organism-based format
CHEMBL227936,Cc1nc2ccccc2n1C,89.0,nM,IC50,7.05,Giardia intestinalis,organism-based format
CHEMBL387631,Cc1nc2ccc(Cl)cc2n1C,44.0,nM,IC50,7.36,Giardia intestinalis,organism-based format
CHEMBL227688,Cc1nc2cc(Cl)c(Cl)cc2n1C,55.0,nM,IC50,7.26,Giardia intestinalis,organism-based format
CHEMBL2022292,Cn1c(N)nc2cc(Cl)ccc21,242.0,nM,IC50,6.62,Giardia intestinalis,organism-based format
CHEMBL227086,Cn1c(S)nc2ccccc21,18.0,nM,IC50,7.75,Giardia intestinalis,organism-based format
CHEMBL376814,Cn1c(S)nc2cc(Cl)ccc21,45.0,nM,IC50,7.35,Giardia intestinalis,organism-based format
CHEMBL227686,Cn1c(S)nc2ccc(Cl)cc21,20.0,nM,IC50,7.70,Giardia intestinalis,organism-based format
CHEMBL223968,CSc1nc2ccccc2n1C,33.0,nM,IC50,7.48,Giardia intestinalis,organism-based format
CHEMBL374624,CSc1nc2cc(Cl)ccc2n1C,28.0,nM,IC50,7.55,Giardia intestinalis,organism-based format
CHEMBL227687,CSc1nc2ccc(Cl)cc2n1C,122.0,nM,IC50,6.91,Giardia intestinalis,organism-based format
CHEMBL1385850,O=C(O)c1ccc2[nH]c(C(F)(F)F)nc2c1,172.0,nM,IC50,6.76,Giardia intestinalis,organism-based format
CHEMBL2022619,Cn1c(C(F)(F)F)nc2cc(C(=O)O)ccc21,2770.0,nM,IC50,5.56,Giardia intestinalis,organism-based format
CHEMBL2022620,Cn1c(C(F)(F)F)nc2ccc(C(=O)O)cc21,330.0,nM,IC50,6.48,Giardia intestinalis,organism-based format
CHEMBL1599463,COC(=O)c1ccc2[nH]c(C(F)(F)F)nc2c1,1190.0,nM,IC50,5.92,Giardia intestinalis,organism-based format
CHEMBL2022621,COC(=O)c1ccc2c(c1)nc(C(F)(F)F)n2C,2450.0,nM,IC50,5.61,Giardia intestinalis,organism-based format
CHEMBL2022622,COC(=O)c1ccc2nc(C(F)(F)F)n(C)c2c1,3820.0,nM,IC50,5.42,Giardia intestinalis,organism-based format
CHEMBL2022623,CCN(CC)C(=O)COC(=O)c1ccc2c(c1)nc(C(F)(F)F)n2C,133.0,nM,IC50,6.88,Giardia intestinalis,organism-based format
CHEMBL2022624,CCN(CC)C(=O)COC(=O)c1ccc2nc(C(F)(F)F)n(C)c2c1,470.0,nM,IC50,6.33,Giardia intestinalis,organism-based format
CHEMBL2022625,CNC(=O)c1ccc2[nH]c(C(F)(F)F)nc2c1,320.0,nM,IC50,6.50,Giardia intestinalis,organism-based format
CHEMBL2022626,CNC(=O)c1ccc2nc(C(F)(F)F)n(C)c2c1,211.0,nM,IC50,6.68,Giardia intestinalis,organism-based format
CHEMBL2238088,Cc1ncc([N+](=O)[O-])n1CC/N=C/c1ccncc1,11200.0,nM,IC50,4.95,Giardia intestinalis,organism-based format
CHEMBL2238087,Cc1ncc([N+](=O)[O-])n1CC/N=C/c1ccco1,2780.0,nM,IC50,5.56,Giardia intestinalis,organism-based format
CHEMBL2238086,Cc1ncc([N+](=O)[O-])n1CC/N=C/c1cccs1,830.0,nM,IC50,6.08,Giardia intestinalis,organism-based format
CHEMBL2238085,Cc1ncc([N+](=O)[O-])n1CC/N=C/c1ccccc1Cl,7290.0,nM,IC50,5.14,Giardia intestinalis,organism-based format
CHEMBL2238084,Cc1ncc([N+](=O)[O-])n1CC/N=C/c1cc(Cl)ccc1O,4320.0,nM,IC50,5.37,Giardia intestinalis,organism-based format
CHEMBL2238083,Cc1ncc([N+](=O)[O-])n1CC/N=C/c1ccccc1O,2150.0,nM,IC50,5.67,Giardia intestinalis,organism-based format
CHEMBL2238082,Cc1ncc([N+](=O)[O-])n1CC/N=C/c1ccc([N+](=O)[O-])cc1,1830.0,nM,IC50,5.74,Giardia intestinalis,organism-based format
CHEMBL2238081,COc1ccc(/C=N/CCn2c([N+](=O)[O-])cnc2C)cc1,2260.0,nM,IC50,5.65,Giardia intestinalis,organism-based format
CHEMBL2238080,Cc1ccc(/C=N/CCn2c([N+](=O)[O-])cnc2C)cc1,1360.0,nM,IC50,5.87,Giardia intestinalis,organism-based format
CHEMBL2238089,Cc1ncc([N+](=O)[O-])n1CC/N=C/c1ccc(F)cc1,2390.0,nM,IC50,5.62,Giardia intestinalis,organism-based format
CHEMBL2235630,Sc1nc2c(Br)cc(Br)cc2[nH]1,0.006,ug.mL-1,IC50,,Giardia intestinalis,organism-based format
CHEMBL2262115,COc1ccc(C2=CC(c3ccc(OC)cc3)NC(=S)N2)cc1,,,IC50,,Giardia intestinalis,organism-based format
CHEMBL2262114,COc1ccc(C2=CC(c3c(OC)cc(OC)cc3OC)NC(=S)N2)cc1,100000.0,nM,IC50,,Giardia intestinalis,organism-based format
CHEMBL1506653,COc1ccc(C2=CC(c3ccc(OC)c(OC)c3)NC(S)=N2)cc1,100000.0,nM,IC50,,Giardia intestinalis,organism-based format
CHEMBL2262113,COc1ccc(OC)c(C2=CC(c3cc(OC)c(OC)c(OC)c3)NC(=S)N2)c1,100000.0,nM,IC50,,Giardia intestinalis,organism-based format
CHEMBL454949,COc1ccc(OC)c(C2=CC(c3ccc(OC)c([N+](=O)[O-])c3)NC(=S)N2)c1,57800.0,nM,IC50,4.24,Giardia intestinalis,organism-based format
CHEMBL2262112,COc1ccc(OC)c(C2=CC(c3cc(OC)ccc3OC)NC(=S)N2)c1,100000.0,nM,IC50,,Giardia intestinalis,organism-based format
CHEMBL454948,COc1cc(OC)c(C2C=C(c3cc(OC)ccc3OC)NC(=S)N2)c(OC)c1,33800.0,nM,IC50,4.47,Giardia intestinalis,organism-based format
CHEMBL2262111,COc1ccc(C2C=C(c3cc(OC)ccc3OC)NC(=S)N2)cc1,100000.0,nM,IC50,,Giardia intestinalis,organism-based format
CHEMBL2262110,COc1ccc(C2C=C(c3cc(OC)c(OC)c(OC)c3)NC(=S)N2)cc1,22300.0,nM,IC50,4.65,Giardia intestinalis,organism-based format
CHEMBL454154,COc1cc(C2=CC(c3ccc(Cl)cc3)NC(=S)N2)cc(OC)c1OC,46700.0,nM,IC50,4.33,Giardia intestinalis,organism-based format
CHEMBL509689,COc1cc(C2=CC(c3ccc([N+](=O)[O-])cc3)NC(=S)N2)cc(OC)c1OC,21000.0,nM,IC50,4.68,Giardia intestinalis,organism-based format
CHEMBL454143,COc1ccc(C2C=C(c3cc(OC)c(OC)c(OC)c3)NC(=S)N2)cc1[N+](=O)[O-],24300.0,nM,IC50,4.61,Giardia intestinalis,organism-based format
CHEMBL508222,COc1ccc(C2C=C(c3cc(OC)c(OC)c(OC)c3)NC(=S)N2)cc1O,21500.0,nM,IC50,4.67,Giardia intestinalis,organism-based format
CHEMBL508026,COc1cccc(C2C=C(c3cc(OC)c(OC)c(OC)c3)NC(=S)N2)c1,40400.0,nM,IC50,4.39,Giardia intestinalis,organism-based format
CHEMBL454140,COc1ccc(OC)c(C2C=C(c3cc(OC)c(OC)c(OC)c3)NC(=S)N2)c1,23500.0,nM,IC50,4.63,Giardia intestinalis,organism-based format
CHEMBL453125,COc1ccc(C2C=C(c3cc(OC)c(OC)c(OC)c3)NC(=S)N2)cc1OC,22700.0,nM,IC50,4.64,Giardia intestinalis,organism-based format
CHEMBL454156,COc1cc(OC)c(C2C=C(c3cc(OC)c(OC)c(OC)c3)NC(=S)N2)c(OC)c1,20300.0,nM,IC50,4.69,Giardia intestinalis,organism-based format
CHEMBL454155,COc1cc(C2=CC(c3cc(OC)c(OC)c(OC)c3)NC(=S)N2)cc(OC)c1OC,24800.0,nM,IC50,4.61,Giardia intestinalis,organism-based format
