molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL4939495,Cc1ccc2nc(-c3cc4ccccc4o3)cn2c1,2040.0,nM,IC50,5.69,Schistosoma mansoni,organism-based format,True
CHEMBL4934913,COc1ccccc1C1c2[nH]c3ccccc3c2C[C@H]2C(=O)N(CC(O)c3ccccc3)CC(=O)N12,3160.0,nM,IC50,5.50,Schistosoma mansoni,organism-based format,True
CHEMBL4930084,Nc1nc2c(s1)CN(CCc1ccccc1)CC2,3980.0,nM,IC50,5.40,Schistosoma mansoni,organism-based format,True
CHEMBL4922482,COc1ccc(-[n+]2c(-c3ccc(-c4ccccc4)cc3)cn3c2COCC3)cc1,2140.0,nM,IC50,5.67,Schistosoma mansoni,organism-based format,True
CHEMBL4969023,N#Cc1nc2c(C#N)c(N)n(CCc3ccccc3)c2nc1C#N,1380.0,nM,IC50,5.86,Schistosoma mansoni,organism-based format,True
CHEMBL4923208,O=c1[nH]c(=O)n(S(=O)(=O)c2ccccc2)cc1F,2.75,nM,IC50,8.56,Schistosoma mansoni,organism-based format,True
CHEMBL4928597,COc1ccc(CCNc2oc(-c3cccnc3)nc2C#N)cc1OC,3980.0,nM,IC50,5.40,Schistosoma mansoni,organism-based format,True
CHEMBL4939411,C[C@@H](CNc1nc(-c2ccccc2)nc2nc(-c3ccc(Cl)cc3)oc12)N1CCCCC1,3390.0,nM,IC50,5.47,Schistosoma mansoni,organism-based format,True
CHEMBL4953741,CC[N+](CC)(CC(=O)OC1CC2CCC1(C)C2(C)C)CC(=O)OC1CC2CCC1(C)C2(C)C,1820.0,nM,IC50,5.74,Schistosoma mansoni,organism-based format,True
CHEMBL5012952,C[N+]12CCCCC1C(OC(=O)C1(c3ccccc3)CCCC1)CCC2,2040.0,nM,IC50,5.69,Schistosoma mansoni,organism-based format,True
