molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL601506,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Nc1ccc(O)cc1,2200.0,nM,IC50,5.66,Leishmania infantum,organism-based format,True
CHEMBL1081864,NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)c1nc2ccccc2s1,22800.0,nM,IC50,4.64,Leishmania infantum,organism-based format,True
CHEMBL1081865,N=C(N)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)c1nc2ccccc2s1,45400.0,nM,IC50,4.34,Leishmania infantum,organism-based format,True
CHEMBL1213036,O=[N+]([O-])c1ccc2nc(Cl)sc2c1,48000.0,nM,IC50,4.32,Leishmania infantum,organism-based format,True
CHEMBL1213037,CN(C)c1ccc(Nc2nc3ccc([N+](=O)[O-])cc3s2)cc1,25000.0,nM,IC50,4.60,Leishmania infantum,organism-based format,True
CHEMBL1213039,COc1cc(NS(C)(=O)=O)ccc1Nc1nc2ccc([N+](=O)[O-])cc2s1,18000.0,nM,IC50,4.75,Leishmania infantum,organism-based format,True
CHEMBL1213040,O=[N+]([O-])c1ccc2nc(Nc3cccc(O)c3)sc2c1,15000.0,nM,IC50,4.82,Leishmania infantum,organism-based format,True
CHEMBL1213041,CC(=O)Nc1nc2ccc([N+](=O)[O-])cc2s1,1000.0,nM,IC50,6.00,Leishmania infantum,organism-based format,True
CHEMBL318275,Nc1nc2ccc([N+](=O)[O-])cc2s1,51000.0,nM,IC50,4.29,Leishmania infantum,organism-based format,True
CHEMBL1213060,CN(C)c1nc2ccc([N+](=O)[O-])cc2s1,4000.0,nM,IC50,5.40,Leishmania infantum,organism-based format,True
CHEMBL1213062,COC(=O)OCc1ccc2nc3ccc(OC)cc3c(N)c2c1,1000.0,nM,IC50,6.00,Leishmania infantum,organism-based format,True
CHEMBL1213063,CCN(CC)c1nc2ccc([N+](=O)[O-])cc2s1,99000.0,nM,IC50,4.00,Leishmania infantum,organism-based format,True
CHEMBL1213064,COC(=O)OCc1ccc2nc3ccc(OC)cc3c(Cl)c2c1,3000.0,nM,IC50,5.52,Leishmania infantum,organism-based format,True
CHEMBL1213088,CCCC(=O)OCc1ccc2nc3ccc(OC)cc3c(Cl)c2c1,3000.0,nM,IC50,5.52,Leishmania infantum,organism-based format,True
CHEMBL1213090,COc1ccc2nc3ccc(COC(=O)c4ccc(Cl)cc4)cc3c(N)c2c1,3000.0,nM,IC50,5.52,Leishmania infantum,organism-based format,True
CHEMBL1213091,COc1ccc2nc3ccc(COC(=O)c4ccccc4)cc3c(N)c2c1,35000.0,nM,IC50,4.46,Leishmania infantum,organism-based format,True
CHEMBL1213125,O=[N+]([O-])c1ccc2nc(N3CCCCC3)sc2c1,6000.0,nM,IC50,5.22,Leishmania infantum,organism-based format,True
CHEMBL1213126,COc1ccc2nc3ccc(COC(=O)CC(C)C)cc3c(Cl)c2c1,36000.0,nM,IC50,4.44,Leishmania infantum,organism-based format,True
CHEMBL1213127,COc1ccc(C(=O)OCc2ccc3nc4ccc(OC)cc4c(N)c3c2)cc1,2000.0,nM,IC50,5.70,Leishmania infantum,organism-based format,True
CHEMBL1213128,COc1ccc2nc3ccc(COC(=O)c4ccc(F)cc4)cc3c(N)c2c1,1000.0,nM,IC50,6.00,Leishmania infantum,organism-based format,True
CHEMBL1213129,COc1ccc2nc3ccc(COC(=O)CC(C)C)cc3c(N)c2c1,2000.0,nM,IC50,5.70,Leishmania infantum,organism-based format,True
