"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL1241590";"FLORFENICOL";"FLORFENICOL|NSC-759287|NUFLOR|SCH 25298|SCH-25298";"Small molecule";"-1.0";"358.22";"21";"175";"1.38";"83.47";"4";"2";"0";"6";"N";"0.75";"8.49";"None";"0.67";"0.64";"1";"MOL";"0";"21";"5";"2";"0";"357.0005";"-0.43";"NEUTRAL";"C12H14Cl2FNO4S";"CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc1";"AYIRNRDRBQJXIF-NXEZZACHSA-N"
"CHEMBL2103748";"CILOFUNGIN";"CILOFUNGIN|L-646991|LY-121019|LY121019";"Small molecule";"-1.0";"1030.14";"16";"35";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"1029.4906";"None";"None";"C49H71N7O17";"CCCCCCCCOc1ccc(C(=O)N[C@H]2C[C@@H](O)[C@@H](O)NC(=O)[C@@H]3[C@@H](O)[C@@H](C)CN3C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c3ccc(O)cc3)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@H]([C@@H](C)O)NC2=O)cc1";"ZKZKCEAHVFVZDJ-MTUMARHDSA-N"
"CHEMBL2303619";"CHROMOMYCIN A3";"ABURAMYCIN B|CHROMOMYCIN A3|Chromomycin A3|NSC-58514|TOYOMYCIN";"Small molecule";"-1.0";"1183.26";"12";"20";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"1182.5094";"None";"None";"C57H82O26";"CO[C@@H]1[C@H](O)C[C@@H](O[C@@H]2C[C@H](Oc3cc4cc5c(c(O)c4c(O)c3C)C(=O)[C@@H](O[C@H]3C[C@@H](O[C@H]4C[C@@H](O[C@H]6C[C@](C)(O)[C@@H](OC(C)=O)[C@H](C)O6)[C@H](O)[C@@H](C)O4)[C@H](O)[C@@H](C)O3)[C@H]([C@H](OC)C(=O)[C@@H](O)[C@@H](C)O)C5)O[C@H](C)[C@@H]2OC(C)=O)O[C@@H]1C";"ZYVSOIYQKUDENJ-WKSBCEQHSA-N"
"CHEMBL263367";"EVERNIMICIN";"EVERNIMICIN|EVERNINOMICIN|SCH 27899|SCH-27899|Ziracin";"Oligosaccharide";"-1.0";"1631.42";"5";"8";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"1629.5066";"None";"None";"C70H97Cl2NO38";"COC[C@H]1O[C@@H](O[C@@H]2OC[C@@H]3O[C@@]4(OC[C@@H](OC(=O)c5c(C)cc(O)cc5O)[C@@H]5OCO[C@H]54)O[C@H]3[C@H]2O)[C@@H](OC)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](C)[C@H](OC)[C@H](O[C@@H]2O[C@H](C)[C@H]3O[C@]4(C[C@@H](O)[C@H](O[C@H]5C[C@@H](O[C@H]6C[C@](C)([N+](=O)[O-])[C@@H](OC)[C@H](C)O6)[C@H](OC(=O)c6c(C)c(Cl)c(O)c(Cl)c6OC)[C@@H](C)O5)[C@@H](C)O4)O[C@]3(C)[C@@H]2O)[C@H]1O";"UPADRKHAIMTUCC-OWALTSPQSA-N"
"CHEMBL3989415";"RIFAMIDE";"N,N-DIETHYLRIFOMYCIN B AMIDE|NCI-143-418|NSC-133099|NSC-143418|RIFAMIDE|RIFAMYCIN B DIETHYLAMIDE|RIFAMYCIN DIETHYLAMIDE|RIFAMYCIN M-14|RIFOMYCIN M14";"Small molecule";"-1.0";"810.94";"";"";"5.30";"210.62";"13";"5";"3";"7";"N";"0.18";"7.09";"None";"4.15";"3.66";"2";"MOL";"0";"58";"15";"5";"3";"810.3939";"1.69";"NEUTRAL";"C43H58N2O13";"CCN(CC)C(=O)COc1cc2c(O)c3c(O)c(C)c4c(c13)C(=O)[C@@](C)(O/C=C/[C@H](OC)[C@@H](C)[C@@H](OC(C)=O)[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)/C=C/C=C(/C)C(=O)N2)O4";"VFYNXKZVOUXHDX-VDPUEHCXSA-N"
"CHEMBL1908310";"ERYTHROMYCIN ACISTRATE";"ERYTHROMYCIN ACISTRATE|Erasis";"Small molecule";"-1.0";"1060.46";"1";"18";"2.36";"199.98";"15";"4";"2";"8";"N";"0.26";"12.68";"7.87";"3.04";"2.44";"0";"MOL";"0";"54";"15";"4";"2";"775.4718";"1.91";"NEUTRAL";"C57H105NO16";"CCCCCCCCCCCCCCCCCC(=O)O.CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2OC(C)=O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O";"FPEVNWDVXZGKCD-SAVXWCSHSA-N"
"CHEMBL32838";"FUMAGILLIN";"(-)-FUMAGILLIN|AMEBACILIN|FUMAGILLIN|Fumidil|NSC-9168|ZGN-201";"Small molecule";"-1.0";"458.55";"31";"77";"3.92";"97.89";"6";"1";"0";"10";"N";"0.17";"4.64";"None";"4.05";"1.36";"0";"MOL";"0";"33";"7";"1";"0";"458.2305";"2.69";"ACID";"C26H34O7";"CO[C@@H]1[C@H](OC(=O)/C=C/C=C/C=C/C=C/C(=O)O)CC[C@]2(CO2)[C@H]1[C@@]1(C)O[C@@H]1CC=C(C)C";"NGGMYCMLYOUNGM-CSDLUJIJSA-N"
"CHEMBL1877495";"BENMOXIN";"BENMOXIN|MEBAMOXINE";"Small molecule";"-1.0";"240.31";"5";"7";"2.68";"41.13";"2";"2";"0";"4";"N";"0.81";"None";"3.32";"2.89";"2.89";"2";"MOL";"0";"18";"3";"2";"0";"240.1263";"-1.04";"NEUTRAL";"C15H16N2O";"CC(NNC(=O)c1ccccc1)c1ccccc1";"BEWNZPMDJIGBED-UHFFFAOYSA-N"
"CHEMBL2106451";"GALARUBICIN";"GALARUBICIN";"Small molecule";"-1.0";"633.58";"";"";"-0.12";"232.37";"14";"6";"3";"8";"N";"0.14";"7.99";"8.97";"0.37";"0.00";"2";"MOL";"0";"45";"14";"7";"3";"633.1858";"1.34";"BASE";"C30H32FNO13";"COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)COC(=O)CCN)C[C@@H]3O[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@H]1F";"CKXIPXAIFMTQCS-LRDUUELOSA-N"
"CHEMBL3138624";"REPROMICIN";"REPROMICIN|SCH 16524|SCH-16524";"Small molecule";"-1.0";"565.75";"1";"1";"3.46";"122.60";"9";"2";"1";"6";"N";"0.37";"12.82";"7.68";"3.38";"2.92";"0";"MOL";"0";"40";"9";"2";"1";"565.3615";"2.16";"NEUTRAL";"C31H51NO8";"CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1C";"OBUIQEYZGMZXPJ-NPQHDNJNSA-N"
"CHEMBL2104401";"DETORUBICIN";"DETORUBICIN";"Small molecule";"-1.0";"673.67";"2";"19";"0.95";"230.60";"15";"5";"2";"11";"N";"0.11";"8.00";"9.03";"1.86";"1.43";"2";"MOL";"0";"48";"15";"6";"3";"673.2371";"1.36";"BASE";"C33H39NO14";"CCOC(OCC)C(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O";"XZSRRNFBEIOBDA-CFNBKWCHSA-N"
"CHEMBL2304314";"";"";"Unknown";"";"1787.72";"6";"7";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"None";"None";"1785.6296";"None";"None";"C87H101Cl2N11O26";"CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)c(CNCc5ccc(-c6ccc(Cl)cc6)cc5)c(O)c4-c4cc3ccc4O)[C@H](O[C@H]3C[C@](C)(N)[C@@H](O)[C@H](C)O3)c3ccc(cc3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O";"XRBKNTXSBQXXGW-SSPONTBMSA-N"
"CHEMBL373496";"GRAMICIDIN S";"GRAMICIDIN C|GRAMICIDIN S|GRAMICIDIN S 1|GRAMICIDIN S-A|GRAMMIDIN";"Protein";"-1.0";"1141.47";"39";"193";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"BOTH";"0";"None";"None";"None";"None";"1140.7059";"None";"None";"C60H92N12O10";"CC(C)C[C@@H]1NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC1=O";"IUAYMJGZBVDSGL-XNNAEKOYSA-N"
"CHEMBL2104423";"NARASIN";"ANTIBIOTIC A-28086 FACTOR A|C-7819B|COMPD-79891|COMPOUND 79891|Monteban|NARASIN|NARASIN A|SALINOMYCIN, 4-METHYL-, (4S)-";"Small molecule";"-1.0";"765.04";"6";"9";"6.43";"161.21";"10";"4";"2";"12";"N";"0.16";"4.50";"None";"7.88";"5.07";"0";"MOL";"0";"54";"11";"4";"3";"764.5075";"2.03";"ACID";"C43H72O11";"CC[C@@H](C(=O)O)[C@@H]1O[C@@H]([C@@H](C)[C@H](O)[C@H](C)C(=O)[C@H](CC)[C@H]2O[C@]3(C=C[C@@H](O)[C@]4(CC[C@@](C)([C@H]5CC[C@](O)(CC)[C@H](C)O5)O4)O3)[C@H](C)C[C@@H]2C)[C@@H](C)C[C@@H]1C";"VHKXXVVRRDYCIK-CWCPJSEDSA-N"
"CHEMBL2110604";"BETAMICIN";"BETAMICIN|SCH-14342";"Small molecule";"-1.0";"482.53";"1";"3";"-6.00";"248.39";"14";"10";"2";"6";"N";"0.17";"12.05";"9.59";"-5.72";"-11.26";"0";"MOL";"0";"33";"14";"13";"2";"482.2588";"1.79";"BASE";"C19H38N4O10";"CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](N)C[C@H]2N)OC[C@]1(C)O";"RHRAMPXHWHSKQB-GGEUKFTFSA-N"
"CHEMBL1950577";"EPITETRACYCLINE HYDROCHLORIDE";"EPITETRACYCLINE HYDROCHLORIDE|QUATRIMYCIN HCL|QUATRIMYCIN HYDROCHLORIDE";"Small molecule";"-1.0";"480.90";"2";"2";"-0.21";"181.62";"9";"6";"1";"2";"N";"0.34";"2.91";"8.81";"-3.47";"-3.70";"1";"MOL";"0";"32";"10";"7";"1";"444.1533";"1.70";"ZWITTERION";"C22H25ClN2O8";"CN(C)[C@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12.Cl";"XMEVHPAGJVLHIG-DXDJYCPMSA-N"
"CHEMBL2104642";"BLUENSOMYCIN";"BLUENSOMYCIN|U-12898";"Small molecule";"-1.0";"585.56";"";"";"-7.34";"325.01";"16";"13";"3";"9";"N";"0.09";"11.94";"11.16";"-6.86";"-9.59";"0";"MOL";"0";"40";"19";"15";"3";"585.2494";"1.88";"BASE";"C21H39N5O14";"CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](OC(N)=O)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O";"RQLDKUSQKQMFCN-AEXVNIBOSA-N"
"CHEMBL2106182";"ERYTHROMYCIN ETHYLCARBONATE";"ERYTHROMYCIN ETHYLCARBONATE";"Small molecule";"-1.0";"806.00";"";"";"2.97";"209.21";"16";"4";"2";"9";"N";"0.25";"12.68";"7.66";"4.01";"3.56";"0";"MOL";"0";"56";"16";"4";"2";"805.4824";"1.68";"NEUTRAL";"C40H71NO15";"CCOC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C";"BSUQCLSFQSUNED-PPPRQHODSA-N"
"CHEMBL2106517";"DEMECYCLINE";"A IX|CL 22415|CL-22415|DEMECYCLINE";"Small molecule";"-1.0";"430.41";"";"";"-0.39";"181.62";"9";"6";"1";"2";"N";"0.34";"2.87";"8.18";"-3.76";"-3.98";"1";"MOL";"0";"31";"10";"7";"1";"430.1376";"1.74";"ACID";"C21H22N2O8";"CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@H](O)[C@H]3C[C@@H]12";"JCSGAUKCDAVARS-SOUFLCLCSA-N"
"CHEMBL2105778";"ZORUBICIN HYDROCHLORIDE";"NSC-164011|RP 22,050 HYDROCHLORIDE|RUBIDAZONE|ZORUBICIN HCL|ZORUBICIN HYDROCHLORIDE";"Small molecule";"-1.0";"682.13";"5";"15";"2.25";"210.23";"12";"6";"3";"6";"N";"0.10";"8.20";"9.37";"2.67";"2.02";"3";"MOL";"0";"47";"13";"7";"3";"645.2322";"1.00";"BASE";"C34H36ClN3O10";"COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(/C(C)=N/NC(=O)c1ccccc1)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.Cl";"NKFHKYQGZDAKMX-PPRKPIOESA-N"
"CHEMBL2108203";"HACHIMYCIN";"CABIMICINA|HACHIMYCIN|TRICHOMYCIN|TRICHONAT";"Unknown";"-1.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL2105807";"MADURAMICIN";"CL 273,703|CL-273703|CYGRO|MADURAMICIN|MADURAMICIN AMMONIUM|MADURAMYCIN AMMONIUM|PRINICIN AMMONIUM";"Small molecule";"-1.0";"934.17";"105";"264";"4.32";"208.75";"16";"4";"2";"13";"N";"0.20";"4.01";"None";"4.77";"1.62";"0";"MOL";"0";"64";"17";"4";"2";"916.5396";"1.94";"ACID";"C47H83NO17";"CO[C@@H]1[C@@H](OC)[C@H](C)[C@@](O)(CC(=O)O)O[C@H]1[C@H](C)[C@H]1O[C@@]2(CC[C@@](C)([C@H]3CC[C@@](C)([C@@H]4O[C@@H]([C@H]5O[C@](C)(O)[C@H](C)C[C@@H]5C)C[C@@H]4O[C@@H]4C[C@H](OC)[C@@H](OC)[C@H](C)O4)O3)O2)C[C@H](O)[C@H]1C.N";"WQGJEAMPBSZCIF-HKSLRPGUSA-N"
"CHEMBL2104433";"PRIMYCIN";"CHINOPRICIN|DEBRYCIN|PRIMYCIN|PRIMYCIN A1";"Small molecule";"-1.0";"1078.43";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"1077.7287";"None";"None";"C55H103N3O17";"CCCCC1C(=O)OC(C(C)C(O)CCCNC(=N)N)C(C)/C=C(\C)CCCCC(O)CC(O)CC(O)CC(O)CC(O)C(O[C@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)/C=C(\C)C(O)CCCC(O)CCCC(O)CCC(C)C1O";"NYWSLZMTZNODJM-MCGDBQAWSA-N"
"CHEMBL2105788";"OLEANDOMYCIN PHOSPHATE";"Matromycin|OLEANDOMYCIN PHOSPHATE|OLEANDOMYCIN PHOSPHATE (1:1)";"Small molecule";"-1.0";"785.86";"2";"2";"1.91";"165.98";"13";"3";"2";"6";"N";"0.27";"12.67";"8.38";"2.98";"1.95";"0";"MOL";"0";"48";"13";"3";"2";"687.4194";"1.67";"NEUTRAL";"C35H64NO16P";"CO[C@H]1C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3O)[C@@H](C)C[C@@]3(CO3)C(=O)[C@H](C)[C@@H](O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1O.O=P(O)(O)O";"RLPCJGKQKFMBEI-UOBLTHIJSA-N"
"CHEMBL469912";"PUROMYCIN";"3123-L|3123L|CL 13,900|CL-13900|GNF-PF-2016|P-638|PUROMYCIN|TCMDC-123493";"Small molecule";"-1.0";"471.52";"169";"484";"-0.79";"160.88";"11";"4";"1";"8";"N";"0.33";"12.35";"8.03";"-0.30";"-1.02";"3";"MOL";"0";"34";"12";"5";"1";"471.2230";"0.41";"NEUTRAL";"C22H29N7O5";"COc1ccc(C[C@H](N)C(=O)N[C@H]2[C@@H](O)[C@H](n3cnc4c(N(C)C)ncnc43)O[C@@H]2CO)cc1";"RXWNCPJZOCPEPQ-NVWDDTSBSA-N"
"CHEMBL2105038";"DOMOXIN";"DA 641|DOMOXIN|DOMOXIN HYDROGEN TARTRATE|HYDRAZINOXANE|IS 2596|IS-2596";"Small molecule";"-1.0";"270.33";"";"";"2.20";"47.72";"4";"1";"0";"4";"N";"0.68";"None";"5.46";"2.23";"2.23";"2";"MOL";"0";"20";"4";"2";"0";"270.1368";"-0.50";"NEUTRAL";"C16H18N2O2";"NN(Cc1ccccc1)CC1COc2ccccc2O1";"IXTXYSAWZICAPV-UHFFFAOYSA-N"
"CHEMBL3989899";"PIRLIMYCIN HYDROCHLORIDE";"PIRLIMYCIN HCL|PIRLIMYCIN HYDROCHLORIDE|PIRLIMYCIN HYDROCHLORIDE HYDRATE|U-57,930E|U-57930E";"Small molecule";"-1.0";"465.44";"";"";"0.05";"111.05";"7";"5";"0";"6";"N";"0.39";"12.41";"8.88";"0.58";"-0.91";"0";"MOL";"0";"26";"7";"5";"0";"410.1642";"0.77";"BASE";"C17H34Cl2N2O6S";"CC[C@@H]1CCN[C@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)C1.Cl.O";"CHAZSEMQYSZBFN-RWMVMHIMSA-N"
"CHEMBL339323";"PANIPENEM";"CS-533|PANIPENEM|RS-533";"Small molecule";"-1.0";"339.42";"55";"162";"0.70";"104.93";"5";"3";"0";"4";"N";"0.40";"3.51";"12.21";"-3.56";"-3.56";"0";"MOL";"0";"23";"7";"3";"0";"339.1253";"0.45";"ZWITTERION";"C15H21N3O4S";"CC(=N)N1CC[C@H](SC2=C(C(=O)O)N3C(=O)[C@H]([C@@H](C)O)[C@H]3C2)C1";"TYMABNNERDVXID-DLYFRVTGSA-N"
"CHEMBL1207444";"SEMDURAMICIN";"SEMDURAMICIN|UK-61,689|UK-61689";"Small molecule";"-1.0";"873.09";"";"";"4.04";"210.52";"15";"5";"2";"11";"N";"0.20";"3.95";"None";"4.20";"1.01";"0";"MOL";"0";"61";"16";"5";"2";"872.5133";"1.96";"ACID";"C45H76O16";"CO[C@@H]1[C@@H](O)[C@H](C)[C@@](O)(CC(=O)O)O[C@H]1[C@H](C)[C@H]1O[C@@]2(CC[C@@](C)([C@H]3CC[C@@](C)([C@@H]4O[C@@H]([C@H]5O[C@](C)(O)[C@H](C)C[C@@H]5C)C[C@@H]4O[C@H]4CC[C@H](OC)[C@@H](C)O4)O3)O2)C[C@H](O)[C@H]1C";"WINSLRIENGBHSH-ASZYJFLUSA-N"
"CHEMBL486174";"PECILOCIN";"NSC-291839|PECILOCIN|VARIOTIN";"Small molecule";"-1.0";"291.39";"21";"30";"2.75";"57.61";"3";"1";"0";"7";"N";"0.58";"None";"None";"2.40";"2.40";"0";"MOL";"0";"21";"4";"1";"0";"291.1834";"1.14";"NEUTRAL";"C17H25NO3";"CCCC[C@@H](O)/C=C(C)/C=C/C=C/C(=O)N1CCCC1=O";"ZYPGADGCNXOUJP-CXVPHVKISA-N"
"CHEMBL504459";"NOGALAMYCIN";"NOGALAMYCIN|NSC-70845|U 15167|U-15167";"Small molecule";"-1.0";"787.81";"5";"11";"1.14";"229.44";"17";"5";"2";"7";"N";"0.21";"7.56";"6.71";"2.22";"2.20";"2";"MOL";"0";"56";"17";"5";"2";"787.3051";"2.31";"NEUTRAL";"C39H49NO16";"COC(=O)[C@@H]1c2cc3c(c(O)c2[C@@H](O[C@@H]2O[C@@H](C)[C@H](OC)[C@@](C)(OC)[C@H]2OC)C[C@]1(C)O)C(=O)c1c(O)cc2c(c1C3=O)O[C@@H]1O[C@@]2(C)[C@H](O)[C@@H](N(C)C)[C@@H]1O";"KGTDRFCXGRULNK-JYOBTZKQSA-N"
"CHEMBL2272031";"PENTAMYCIN";"CANTRICIN|COGOMYCIN|FEMIFECT|FUNGCHROMIN|LAGOSIN|NSC-105388|NSC-276732|PENTAMYCIN|PRURI-EX";"Small molecule";"-1.0";"670.84";"1";"2";"0.86";"228.60";"12";"10";"3";"5";"N";"0.15";"12.89";"None";"-0.68";"-0.68";"0";"MOL";"0";"47";"12";"10";"3";"670.3928";"1.61";"NEUTRAL";"C35H58O12";"CCCCC[C@@H](O)[C@H]1C(=O)O[C@H](C)[C@@H](O)/C=C/C=C/C=C/C=C/C=C(\C)[C@@H](O)[C@H](O)[C@H](O)C[C@H](O)C[C@H](O)C[C@H](O)C[C@H](O)C[C@@H]1O";"AGJUUQSLGVCRQA-SWOUQTJZSA-N"
"CHEMBL1236180";"EPITETRACYCLINE";"4-EPITETRACYCLINE|QUATRIMYCIN";"Small molecule";"-1.0";"444.44";"1";"1";"-0.21";"181.62";"9";"6";"1";"2";"N";"0.34";"2.91";"8.81";"-3.47";"-3.70";"1";"MOL";"0";"32";"10";"7";"1";"444.1533";"1.70";"ZWITTERION";"C22H24N2O8";"CN(C)[C@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12";"OFVLGDICTFRJMM-PMXORCKASA-N"
"CHEMBL3989633";"PEPLOMYCIN SULFATE";"NK-631|NSC-276382|PEPLEO|PEPLEOMYCIN|PEPLOMYCIN SULFATE|PEPLOMYCIN SULFATE SALT";"Small molecule";"-1.0";"1571.69";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"1472.5813";"None";"None";"C61H90N18O25S3";"Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCCN[C@@H](C)c3ccccc3)cs2)cs1)[C@@H](C)O)[C@@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1.O=S(=O)(O)O";"ZHHIHQFAUZZMTG-BSVJBJGJSA-N"
"CHEMBL2304044";"BUTIKACIN";"BUTIKACIN|UK 18,892|UK 18892|UK-18,892|UK-18892";"Small molecule";"-1.0";"571.63";"";"";"-7.95";"314.87";"17";"13";"3";"11";"N";"0.11";"12.05";"10.00";"-8.00";"-15.40";"0";"MOL";"0";"39";"17";"17";"3";"571.3065";"1.57";"BASE";"C22H45N5O12";"NCC[C@H](O)CN[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O";"OCFOTEIMZBKQFS-DGMGPCKZSA-N"
"CHEMBL3989875";"RUTAMYCIN";"26-DEMETHYLOLIGOMYCIN A|A 272|A-272|OLIGOMYCIN A, 26-DEMETHYL-|OLIGOMYCIN D|RR 32705|RR NO. 32705|RR-32705|RUTAMYCIN|RUTAMYCIN A";"Small molecule";"-1.0";"777.05";"";"";"5.64";"180.05";"11";"5";"3";"3";"N";"0.22";"12.29";"None";"7.07";"7.07";"0";"MOL";"0";"55";"11";"5";"3";"776.5075";"2.05";"NEUTRAL";"C44H72O11";"CC[C@H]1/C=C/C=C/C[C@@H](C)[C@H](O)[C@@](C)(O)C(=O)[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@@H](C)[C@H](O)[C@@H](C)/C=C/C(=O)O[C@H]2C[C@@]3(CC[C@H](C)[C@H](C[C@@H](C)O)O3)O[C@@H](CC1)[C@H]2C";"LVWVMRBMGDJZLM-BONFEJLISA-N"
"CHEMBL3989886";"GITALOXIN";"16-FORMYLGITOXIN|CRISTALOXINE|GITALOXIN|GITOXIN 16-FORMATE";"Small molecule";"-1.0";"808.96";"1";"1";"2.40";"209.13";"15";"5";"2";"9";"N";"0.13";"6.82";"None";"2.61";"1.93";"0";"MOL";"0";"57";"15";"5";"2";"808.4245";"2.25";"NEUTRAL";"C42H64O15";"C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)[C@@H](OC=O)C[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O";"GZZJHPZDXZCDDA-MBJUQXSJSA-N"
"CHEMBL4594229";"PROPIKACIN";"PROPIKACIN|UK-31,214|UK-31214";"Small molecule";"-1.0";"557.60";"";"";"-8.34";"314.87";"17";"13";"3";"10";"N";"0.12";"12.39";"9.41";"-8.06";"-13.54";"0";"MOL";"0";"38";"17";"17";"3";"557.2908";"1.21";"BASE";"C21H43N5O12";"NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](NC(CO)CO)C[C@@H]2N)[C@H](N)[C@@H](O)[C@@H]1O";"ZEFUFVWPRPISAD-FLUPTLLOSA-N"
