"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL415792";"";"";"Small molecule";"";"1487.03";"6";"7";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"None";"None";"1485.5684";"None";"None";"C77H84ClN11O18";"CNC(=O)[C@@H]1NC(=O)C2NC(=O)C(NC(=O)C3NC(=O)C(CC(N)=O)NC(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)OC(C)(C)C)C(O)c4ccc(c(Cl)c4)Oc4cc3cc(c4O)Oc3ccc(cc3)C2O)c2ccc(O)c(c2)-c2c1cc(O)c(CN1CCN(Cc3ccc(-c4ccccc4)cc3)CC1)c2O";"OMYVTFGRMCTBPA-AMQMPGBUSA-N"
"CHEMBL1200628";"VANCOMYCIN HYDROCHLORIDE";"FIRVANQ|FIRVANQ KIT|NSC-757377|VANCOCIN|VANCOCIN MATRIGEL|VANCOLED|VANCOMYCIN (AS HYDROCHLORIDE)|VANCOMYCIN HCL|VANCOMYCIN HYDROCHLORIDE|VANCOMYCIN MONOHYDROCHLORIDE|VANCOMYCIN, MONOHYDROCHLORIDE|VANCOR|Vancocin Hydrochloride|Vanoled";"Small molecule";"4.0";"1485.73";"27";"103";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"1447.4302";"None";"None";"C66H76Cl3N9O24";"CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O.Cl";"LCTORFDMHNKUSG-XTTLPDOESA-N"
"CHEMBL1013";"LORACARBEF";"LORACARBEF|LY-163892|Lorabid|Loracarbef hydrate";"Small molecule";"4.0";"349.77";"49";"140";"0.71";"112.73";"4";"3";"0";"4";"N";"0.69";"2.93";"7.23";"-2.40";"-2.76";"1";"MOL";"0";"24";"7";"4";"0";"349.0829";"0.23";"ACID";"C16H16ClN3O4";"N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1";"JAPHQRWPEGVNBT-UTUOFQBUSA-N"
"CHEMBL68117";"VOSAROXIN";"AG-7352|SNS-595|SPC-595|VORELOXIN|VOSAROXIN";"Small molecule";"3.0";"401.45";"6";"6";"0.96";"109.58";"9";"2";"0";"5";"N";"0.65";"4.87";"8.80";"-0.43";"-0.44";"3";"MOL";"0";"28";"9";"2";"0";"401.1158";"-0.79";"ZWITTERION";"C18H19N5O4S";"CN[C@H]1CN(c2ccc3c(=O)c(C(=O)O)cn(-c4nccs4)c3n2)C[C@@H]1OC";"XZAFZXJXZHRNAQ-STQMWFEESA-N"
"CHEMBL1231529";"BLEOMYCIN A6";"BLEOMYCIN A6|BOANMYCIN|PINGYANGMYCIN A6|ZHENGGUANGMYCIN A6";"Small molecule";"2.0";"1497.68";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"1496.6500";"None";"None";"C60H96N20O21S2";"Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCCNCCCCNCCCN)cs2)cs1)[C@@H](C)O)[C@@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1cnc[nH]1";"FOUFFVYWFNBHHH-YNGSZULRSA-N"
"CHEMBL1136";"TELITHROMYCIN";"HMR 3647|HMR-3647|Ketek|LEVVIAX|NSC-758940|TELITHROMYCIN";"Small molecule";"4.0";"812.02";"73";"1495";"4.93";"171.85";"14";"1";"2";"11";"N";"0.18";"8.95";"7.66";"5.15";"4.89";"2";"MOL";"0";"58";"15";"1";"2";"811.4731";"0.71";"NEUTRAL";"C43H65N5O10";"CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C";"LJVAJPDWBABPEJ-PNUFFHFMSA-N"
"CHEMBL298359";"MITOMYCIN A";"6-METHOXY ANALOG OF MITOMYCIN C|MITOMYCIN A|NSC-75986";"Small molecule";"3.0";"349.34";"26";"103";"-0.96";"130.10";"8";"2";"0";"4";"N";"0.49";"None";"5.60";"-0.30";"-0.30";"0";"MOL";"0";"25";"9";"3";"0";"349.1274";"2.30";"NEUTRAL";"C16H19N3O6";"COC1=C(C)C(=O)C2=C(C1=O)[C@@H](COC(N)=O)[C@@]1(OC)[C@H]3N[C@H]3CN21";"HYFMSAFINFJTFH-NGSRAFSJSA-N"
"CHEMBL374478";"RIFAMPIN";"ABRIFAM|BA 411661E|BA-41166E|EREMFAT|L-5103|L-5103 LEPETIT|L-5103-LEPETIT|NIH-10782|NSC-113926|RIFADINE|RIFALDAZINE|RIFALDIN|RIFAMPICIN|RIFAMPICINUM|RIFAMPIN|RIFAMYCIN AMP|RIFAPIAM|RIFAPRODIN|RIFOLDIN|RIMACTAN|Rifadin|Rifampicin|Rimactane";"Small molecule";"4.0";"822.95";"351";"7348";"4.34";"220.15";"15";"6";"3";"4";"N";"0.11";"6.80";"7.37";"2.95";"2.87";"2";"MOL";"0";"59";"16";"6";"3";"822.4051";"1.66";"NEUTRAL";"C43H58N4O12";"CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C";"JQXXHWHPUNPDRT-WLSIYKJHSA-N"
"CHEMBL1753";"CLINDAMYCIN";"7(S)-CHLORO-7-DEOXYLINCOMYCIN|Antirobe|CHLORODEOXYLINCOMYCIN|CHLOROLINCOMYCIN|CLINDAMYCIN|Cleocin|Cleocin T|Clindamycin|Sobelin|U-21,251|U-21251";"Small molecule";"4.0";"424.99";"291";"3670";"0.39";"102.26";"7";"4";"0";"7";"N";"0.44";"12.41";"7.55";"1.04";"0.65";"0";"MOL";"0";"27";"7";"4";"0";"424.1799";"0.60";"NEUTRAL";"C18H33ClN2O5S";"CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1";"KDLRVYVGXIQJDK-AWPVFWJPSA-N"
"CHEMBL1200981";"EPIRUBICIN HYDROCHLORIDE";"EPIRUBICIN HCL|EPIRUBICIN HYDROCHLORIDE|Ellence|FARMORUBICINA|Farmorubicin|IMI-28|NSC-759195|PHARMORUBICIN|WP-697";"Small molecule";"4.0";"579.99";"42";"202";"0.00";"206.07";"12";"6";"3";"5";"N";"0.24";"8.00";"9.03";"0.53";"0.10";"2";"MOL";"0";"39";"12";"7";"3";"543.1741";"1.81";"BASE";"C27H30ClNO11";"COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1.Cl";"MWWSFMDVAYGXBV-FGBSZODSSA-N"
"CHEMBL3989945";"REZAFUNGIN";"BIAFUNGIN|CD-101|CD101|REZAFUNGIN|REZAFUNGIN CATION|REZAFUNGIN ION|SP-3025";"Small molecule";"3.0";"1226.41";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"1225.6027";"None";"None";"C63H85N8O17+";"CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](OCC[N+](C)(C)C)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1";"LNFCWEXGZIEGJW-TXSVMFMRSA-O"
"CHEMBL1256722";"RAZUPENEM";"PZ-601|RAZUPENEM|SM-216601|SMP-601";"Small molecule";"2.0";"407.52";"5";"178";"1.76";"102.76";"7";"3";"0";"5";"N";"0.64";"2.88";"9.81";"-1.75";"-1.75";"1";"MOL";"0";"27";"7";"3";"0";"407.0973";"0.23";"ZWITTERION";"C18H21N3O4S2";"C[C@H]1C=C(c2csc(SC3=C(C(=O)O)N4C(=O)[C@H]([C@@H](C)O)[C@H]4[C@H]3C)n2)CN1";"XFGOMLIRJYURLQ-GOKYHWASSA-N"
"CHEMBL606258";"OLEANDOMYCIN";"E704|OLEANDOMYCIN";"Small molecule";"-1.0";"687.87";"10";"65";"1.91";"165.98";"13";"3";"2";"6";"N";"0.27";"12.67";"8.38";"2.98";"1.95";"0";"MOL";"0";"48";"13";"3";"2";"687.4194";"1.67";"NEUTRAL";"C35H61NO12";"CO[C@H]1C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3O)[C@@H](C)C[C@@]3(CO3)C(=O)[C@H](C)[C@@H](O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1O";"RZPAKFUAFGMUPI-QESOVKLGSA-N"
"CHEMBL521078";"PORFIROMYCIN";"N-METHYLMITOMYCIN C|NSC-56410|PORFIROMYCIN|U-14,743|U-14743";"Small molecule";"3.0";"348.36";"103";"141";"-1.31";"127.96";"8";"2";"0";"3";"N";"0.48";"None";"2.95";"-0.66";"-0.66";"0";"MOL";"0";"25";"9";"4";"0";"348.1434";"1.55";"NEUTRAL";"C16H20N4O5";"CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@H]1[C@@H]2N1C";"HRHKSTOGXBBQCB-VFWICMBZSA-N"
"CHEMBL438";"SULFAMERAZINE";"Mesulfa|Methypyrimal|NSC-27259|SULFAMERAZINE|SULFAMERAZINE (TRISULFAPYRIMIDINES)|SULPHAMERAZINE|Sulfamerazine|Sulfamethyldiazine|Sumedin";"Small molecule";"4.0";"264.31";"127";"321";"1.17";"97.97";"5";"2";"0";"3";"N";"0.81";"6.99";"2.00";"0.52";"0.08";"2";"MOL";"0";"18";"6";"3";"0";"264.0681";"-1.71";"NEUTRAL";"C11H12N4O2S";"Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1";"QPPBRPIAZZHUNT-UHFFFAOYSA-N"
"CHEMBL1200632";"CLINDAMYCIN PALMITATE HYDROCHLORIDE";"CLINDAMYCIN PALMITATE HCL|CLINDAMYCIN PALMITATE HYDROCHLORIDE|Cleocin|NSC-759141|U-25,179 E|U-25179-E|U-25179E";"Small molecule";"4.0";"699.87";"1";"2";"6.42";"108.33";"8";"3";"2";"22";"N";"0.07";"12.59";"7.55";"7.96";"7.58";"0";"MOL";"0";"44";"8";"3";"2";"662.4095";"0.65";"NEUTRAL";"C34H64Cl2N2O6S";"CCCCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@@H]([C@H](NC(=O)[C@@H]2C[C@@H](CCC)CN2C)[C@H](C)Cl)O[C@@H]1SC.Cl";"GTNDZRUWKHDICY-DJHAJVGHSA-N"
"CHEMBL2146142";"ENVIOMYCIN";"ENVIOMYCIN|ENVIOMYCIN SULFATE|TUBERACTINOMYCIN N";"Protein";"-1.0";"685.70";"";"";"-9.02";"390.36";"13";"16";"3";"10";"N";"0.09";"8.73";"15.37";"-12.01";"-17.17";"0";"MOL";"0";"48";"23";"19";"3";"685.3256";"1.04";"BASE";"C25H43N13O10";"N=C1NCC[C@H]([C@@H]2NC(=O)/C(=C/NC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)C[C@@H](N)[C@H](O)CCN)CNC2=O)N1";"HPWIIERXAFODPP-GHBBWTPBSA-N"
"CHEMBL2104340";"IBACITABINE";"IBACITABINE|NSC-527083";"Small molecule";"-1.0";"353.12";"10";"18";"-0.93";"110.60";"7";"3";"0";"2";"N";"0.59";"13.89";"None";"-0.91";"-0.91";"1";"MOL";"0";"17";"7";"4";"0";"352.9873";"0.98";"NEUTRAL";"C9H12IN3O4";"Nc1nc(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I";"WEVJJMPVVFNAHZ-RRKCRQDMSA-N"
"CHEMBL1256686";"CALCIMYCIN";"A-23187|ANTIBIOTIC A-23187|CALCIMYCIN";"Small molecule";"2.0";"523.63";"83";"194";"5.53";"126.68";"7";"3";"2";"7";"N";"0.35";"4.16";"1.68";"5.38";"2.32";"3";"MOL";"0";"38";"9";"3";"2";"523.2682";"0.77";"ACID";"C29H37N3O6";"CNc1ccc2oc(C[C@H]3O[C@@]4(CC[C@H]3C)O[C@H]([C@H](C)C(=O)c3ccc[nH]3)[C@H](C)C[C@H]4C)nc2c1C(=O)O";"HIYAVKIYRIFSCZ-CYEMHPAKSA-N"
"CHEMBL1200881";"MINOCYCLINE HYDROCHLORIDE";"ACNAMINO|AKNEMIN|AKNEMIN 50|AMZEEQ|ARESTIN|BLEMIX 100|BLEMIX 50|CYCLOMIN|DENTOMYCIN|Dynacin|MINOCIN 50|MINOCIN MR|MINOCYCLINE (AS HYDROCHLORIDE)|MINOCYCLINE HCL|MINOCYCLINE HYDROCHLORIDE|MINOGAL|MINOLIRA|Minocin|NSC-141993|SEBOMIN|SEBREN MR|Solodyn|XIMINO|ZILXI";"Small molecule";"4.0";"493.94";"14";"39";"0.19";"164.63";"9";"5";"0";"3";"N";"0.40";"2.90";"7.90";"-2.54";"-2.61";"1";"MOL";"0";"33";"10";"6";"1";"457.1849";"1.30";"ACID";"C23H28ClN3O7";"CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O.Cl";"GLMUAFMGXXHGLU-VQAITOIOSA-N"
