molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL120925,COc1cc(NCc2ccc3ccccc3n2)cc(OC)c1OC,32000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL121196,O=C(/C=C/c1ccc2ccccc2n1)N1CCOCC1,18000.0,nM,IC50,4.75,Leishmania infantum,organism-based format,True
CHEMBL120356,Br/C=C/c1ccc2ccccc2n1,2000.0,nM,IC50,5.70,Leishmania infantum,organism-based format,True
CHEMBL121071,COc1ccc(/C=C/c2ccc3ccccc3n2)c(OC)c1,32000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL59755,O=C(O)CCC(=O)OC12CCCCC1C1CCCCC1(O)OO2,32000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL60505,O=C(O)CC(=O)OC12CCCCC1C1CCCCC1(O)OO2,32000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL61588,O=C(O)CCCCC(=O)OC12CCCCC1C1CCCCC1(O)OO2,32000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL60144,OC12CCCCC1C1CCCCC1(O)OO2,32000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL60093,CC1CCCC2C3CCCC(C)C3(O)OOC12O,32000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL60487,COC12CCCCC1C1CCCCC1(O)OO2,32000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL60085,O=C(O)CCCC(=O)OC12CCCCC1C1CCCCC1(O)OO2,32000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL209085,CC(C)(C)C(=O)OCOP(=O)(OCOC(=O)C(C)(C)C)Oc1ccc(O)c(C=O)c1,50000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL379972,O=Cc1cc(OP(=O)([O-])[O-])ccc1O.[Na+].[Na+],50000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL224170,CCCc1nc2ccccc2n2cccc12,50000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL223126,CCCc1nc2cc(OC)ccc2n2cccc12,50000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL389038,C/C=C/c1nc2ccccc2n2cccc12,700.0,nM,IC50,6.16,Leishmania infantum,organism-based format,True
CHEMBL224378,C/C=C/c1ccc2ccccc2n1,7000.0,nM,IC50,5.16,Leishmania infantum,organism-based format,True
CHEMBL390988,CCCCC#Cc1nc2cc(OC)ccc2n2cccc12,7000.0,nM,IC50,5.16,Leishmania infantum,organism-based format,True
CHEMBL223123,CCCCC#Cc1nc2ccccc2n2cccc12,25000.0,nM,IC50,4.60,Leishmania infantum,organism-based format,True
CHEMBL374957,C=Cc1nc2ccccc2n2cccc12,500.0,nM,IC50,6.30,Leishmania infantum,organism-based format,True
CHEMBL224638,C/C=C\c1nc2ccccc2n2cccc12,800.0,nM,IC50,6.10,Leishmania infantum,organism-based format,True
CHEMBL223904,C[C@H]1O[C@H]1c1nc2ccccc2n2cccc12,50000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL390772,C[C@@H]1O[C@H]1c1nc2ccccc2n2cccc12,50000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL224115,COc1ccc2c(c1)nc(/C=C/c1ccccc1)c1cccn12,5000.0,nM,IC50,5.30,Leishmania infantum,organism-based format,True
CHEMBL224774,C(=C/c1nc2ccccc2n2cccc12)\c1ccccc1,50000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL389678,c1ccc(-c2nc3ccccc3n3cccc23)cc1,50000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL224458,C1=C(c2nc3ccccc3n3cccc23)CCCC1,50000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL223903,COc1ccc(CCc2nc3ccccc3n3cccc23)cc1OC,50000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL390612,c1ccc2c(c1)nc(CCc1ccc3c(c1)OCO3)c1cccn12,50000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL427095,CCC/C=C/c1nc2ccc(OC)cc2n2cccc12,2500.0,nM,IC50,5.60,Leishmania infantum,organism-based format,True
CHEMBL225145,CCC/C=C/c1nc2cc(OC)ccc2n2cccc12,1000.0,nM,IC50,6.00,Leishmania infantum,organism-based format,True
CHEMBL223401,CCC/C=C/c1nc2ccccc2n2cccc12,7000.0,nM,IC50,5.16,Leishmania infantum,organism-based format,True
CHEMBL223400,CCCCCc1nc2cc(OC)ccc2n2cccc12,50000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL224862,CCCCCc1nc2ccccc2n2cccc12,50000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL224861,C/C=C/c1nc2ccc(OC)cc2n2cccc12,500.0,nM,IC50,6.30,Leishmania infantum,organism-based format,True
CHEMBL224860,C/C=C/c1nc2cc(OC)ccc2n2cccc12,2000.0,nM,IC50,5.70,Leishmania infantum,organism-based format,True
CHEMBL243903,CC(=O)Nc1ccc2cc3ccc(N)cc3nc2c1,90800.0,nM,IC50,4.04,Leishmania infantum,organism-based format,True
CHEMBL55400,Nc1ccc2cc3ccc(N)cc3nc2c1,1300.0,nM,IC50,5.89,Leishmania infantum,organism-based format,True
CHEMBL244501,COc1ccc(C(=O)Nc2ccc3cc4ccc(NC(C)=O)cc4nc3c2)cc1OC,202900.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL244123,COc1ccc(C(=O)Nc2ccc3cc4ccc(NC(C)=O)cc4nc3c2)cc1,86900.0,nM,IC50,4.06,Leishmania infantum,organism-based format,True
CHEMBL397456,CC(=O)Nc1ccc2cc3ccc(NC(=O)c4ccc(F)cc4)cc3nc2c1,132700.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL244122,CC(=O)Nc1ccc2cc3ccc(NC(=O)c4ccc(Cl)cc4)cc3nc2c1,11500.0,nM,IC50,4.94,Leishmania infantum,organism-based format,True
CHEMBL397455,CC(=O)Nc1ccc2cc3ccc(NC(=O)c4ccccc4)cc3nc2c1,186200.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL244686,COc1ccc(C(=O)Nc2ccc3cc4ccc(NC(=O)c5ccc(OC)cc5)cc4nc3c2)cc1,4800.0,nM,IC50,5.32,Leishmania infantum,organism-based format,True
CHEMBL244685,O=C(Nc1ccc2cc3ccc(NC(=O)c4ccc(F)cc4)cc3nc2c1)c1ccc(F)cc1,1700.0,nM,IC50,5.77,Leishmania infantum,organism-based format,True
CHEMBL244684,O=C(Nc1ccc2cc3ccc(NC(=O)c4ccc(Cl)cc4)cc3nc2c1)c1ccc(Cl)cc1,110.0,nM,IC50,6.96,Leishmania infantum,organism-based format,True
CHEMBL244308,O=C(Nc1ccc2cc3ccc(NC(=O)c4ccccc4)cc3nc2c1)c1ccccc1,4310.0,nM,IC50,5.37,Leishmania infantum,organism-based format,True
CHEMBL244120,CCCC(=O)Nc1ccc2cc3ccc(NC(=O)CCC)cc3nc2c1,46700.0,nM,IC50,4.33,Leishmania infantum,organism-based format,True
CHEMBL428219,CCC(=O)Nc1ccc2cc3ccc(NC(=O)CC)cc3nc2c1,159800.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL244683,CC(=O)Nc1ccc2cc3ccc(NC(C)=O)cc3nc2c1,341500.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL271358,C[N+](C)(C)CCOP(=O)([O-])OCCCCC=C1CCCCCCCCC1,76800.0,nM,IC50,4.12,Leishmania infantum,organism-based format,True
CHEMBL270554,C[N+](C)(C)[C@H]1CCC[C@@H]1OP(=O)([O-])OCCCCC=C1CCCCCCCCCCCCCC1,3100.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL272685,C[N+]1(CCOP(=O)([O-])OCCCCC=C2CCCCCCCCCCCCCC2)CCCCC1,1700.0,nM,IC50,5.77,Leishmania infantum,organism-based format,True
CHEMBL412068,C[N+](C)(C)CCOP(=O)([O-])OCCCCC=C1CCCCCCCCCCCCCC1,2200.0,nM,IC50,5.66,Leishmania infantum,organism-based format,True
CHEMBL501755,COc1ccc([C@@H]2COc3c(ccc(O)c3CC=C(C)C)C2)c(OC)c1O,9200.0,nM,IC50,5.04,Leishmania infantum,organism-based format,True
CHEMBL498724,COc1ccc([C@@H]2COc3c(ccc4occc34)C2)c(OC)c1O,11300.0,nM,IC50,4.95,Leishmania infantum,organism-based format,True
CHEMBL498725,COc1ccc([C@@H]2COc3c(ccc4c3C=CC(C)(C)O4)C2)c(OC)c1O,14200.0,nM,IC50,4.85,Leishmania infantum,organism-based format,True
CHEMBL454996,C/C=C/C1=C(OC)C(=O)C(OC)=C(OC)C1=O,74000.0,nM,IC50,4.13,Leishmania infantum,organism-based format,True
CHEMBL501754,C/C=C/c1cc(OC)c(OC)c(O)c1OC,198000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL489518,C/C=C/c1cc(O)c(OC)c(OC)c1,267000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL340807,COc1ccc2c3c([nH]c2c1)C(C)=NCC3,119000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL479289,CC(C)=CCCC1(C)C=Cc2c(cc(O)c3c(=O)c4cccc(O)c4oc23)O1,64000.0,nM,IC50,,Leishmania infantum,organism-based format,True
